title, price, description, category
Troco por carro,R$ 35.000,À venda   | 0 m² | Condomínio: R$ 0,"Terrenos, sítios e fazendas"
"Apartamento em Guarulhos, 50m, 2 quartos, 1 vaga, próximo ao Shopping Internacional",R$ 250.000,À venda   | 2 quartos | 50 m² | Condomínio: R$ 368,Apartamentos
Damha 4 Presidente Prudente,R$ 260.000,À venda   | 647 m²,"Terrenos, sítios e fazendas"
Apto ed petit maison,R$ 220.000,À venda   | 2 quartos | 54 m² | Condomínio: R$ 390,Apartamentos
Vende-se lanche com terreno,R$ 1.200,À venda   | 185 m²,"Terrenos, sítios e fazendas"
Alugo Apartamento,R$ 395.000,Para alugar   | 4 quartos | 130 m² | Condomínio: R$ 600,Apartamentos
Casa a venda jd paulista - presidente prudente sp,R$ 25.000,À venda   | 3 quartos | 275 m²,Casas
Vendo Loja de Roupa Feminina,R$ 470.000,À venda,Comércio e indústria
Terreno Damha I,R$ 600,À venda   | 436 m²,"Terrenos, sítios e fazendas"
Residência no Conj. Habitacional Alcides Perez Videira,R$ 329.000,Para alugar   | 2 quartos,Casas
Casa no Residencial São Paulo recém construído,R$ 280.000,À venda   | 3 quartos | 164 m²,Casas
Condomínio fechado Solares Presidente Prudente Sp,R$ 75.000,À venda   | 420 m²,"Terrenos, sítios e fazendas"
Jardim Novo Prudentino,R$ 550,À venda   | 3 quartos | 160 m²,CasasProfissional
"Casa para venda em são paulo, centro ( gardenia ) são paulo, 2 dormitórios, 1 banheiro, 4",R$ 1.100,À venda   | 2 quartos | 530 m²,CasasProfissional
Residência na Cohab,R$ 116.000,Para alugar   | 2 quartos,Casas
Apartamento Padrão,R$ 550.000,Para alugar   | 3 quartos | 127 m² | Condomínio: R$ 600,ApartamentosProfissional
"Terreno para venda em presidente prudente, são sebastião",R$ 100.000,À venda   | 252 m²,"Terrenos, sítios e fazendasProfissional"
Apartamento no Condomínio residencial Village Park,R$ 850,À venda   | 3 quartos | 112 m² | Condomínio: R$ 520,ApartamentosProfissional
"Terreno para venda em presidente prudente, prudentino",R$ 185.000,À venda   | 228 m²,"Terrenos, sítios e fazendasProfissional"
"Apartamento para locação em presidente prudente, edificio santa helena, 3 dormitórios, 1 s",R$ 1.750.000,Para alugar   | 3 quartos | Condomínio: R$ 500,ApartamentosProfissional
"Casa para venda em presidente prudente, santa marta, 2 dormitórios, 1 banheiro, 2 vagas",R$ 100.000,À venda   | 2 quartos | 189 m²,CasasProfissional
"Apartamento para venda em presidente prudente, edifício aoki residence park, 4 dormitórios",R$ 1.100,À venda   | 4 quartos | 530 m² | Condomínio: R$ 1800,ApartamentosProfissional
Excelente terreno plaino á venda no Parque Residencial Carandá.Área total de 180m².,R$ 250.000,À venda   | 180 m²,"Terrenos, sítios e fazendasProfissional"
Residência na Vila Formosa - Próximo a Pizzaria n°1,R$ 325.000,Para alugar   | 3 quartos,Casas
Vende-se ou troca,R$ 180.000,À venda,"Terrenos, sítios e fazendas"
